modelo,cv_rmse,test_rmse,test_mae,test_r2
Linear regression,1.9728238391615585,1.9625818129948533,1.6579196255501978,0.0002186906102576991
Gradient boosting,1.980887247749688,1.9700172432303893,1.6644313058094902,-0.007371195293118582
Random forest,1.9827913678999916,1.9787045677701436,1.6755380349008027,-0.01627533690174121
Xgboost,2.1339858316823155,2.1093144024883395,1.771186342472259,-0.15486736684075586
